Date,Value,21_Month_MA
1914-08-01,7.68,8.400952380952381
1914-09-01,7.68,8.32
1914-10-01,7.68,8.242857142857144
1914-11-01,7.68,8.181428571428572
1914-12-01,7.35,8.112380952380951
1915-01-01,7.48,8.05
1915-02-01,7.38,7.994285714285714
1915-03-01,7.57,7.968095238095238
1915-04-01,8.14,7.963809523809524
1915-05-01,7.95,7.94
1915-06-01,8.04,7.916666666666667
1915-07-01,8.01,7.904761904761905
1915-08-01,8.35,7.919047619047619
1915-09-01,8.66,7.948571428571428
1915-10-01,9.14,7.9852380952380955
1915-11-01,9.46,8.03190476190476
1915-12-01,9.48,8.087142857142858
1916-01-01,9.33,8.144761904761904
1916-02-01,9.2,8.193809523809525
1916-03-01,9.17,8.243333333333332
1916-04-01,9.07,8.30952380952381
1916-05-01,9.27,8.385238095238096
1916-06-01,9.36,8.465238095238094
1916-07-01,9.23,8.539047619047619
1916-08-01,9.3,8.616190476190477
1916-09-01,9.68,8.727142857142857
1916-10-01,9.98,8.846190476190475
1916-11-01,10.21,8.980952380952381
1916-12-01,9.8,9.087142857142858
1917-01-01,9.57,9.155238095238095
1917-02-01,9.03,9.206666666666667
1917-03-01,9.31,9.267142857142858
1917-04-01,9.17,9.322380952380952
1917-05-01,8.86,9.346666666666668
1917-06-01,9.04,9.364761904761904
1917-07-01,8.79,9.348095238095237
1917-08-01,8.53,9.303809523809523
1917-09-01,8.12,9.239047619047618
1917-10-01,7.68,9.16047619047619
1917-11-01,7.04,9.057619047619047
1917-12-01,6.8,8.944761904761904
1918-01-01,7.21,8.856190476190477
1918-02-01,7.43,8.768571428571429
1918-03-01,7.28,8.66952380952381
1918-04-01,7.21,8.573333333333332
1918-05-01,7.44,8.484761904761905
1918-06-01,7.45,8.378571428571428
1918-07-01,7.51,8.26095238095238
1918-08-01,7.58,8.135714285714286
1918-09-01,7.54,8.028095238095238
1918-10-01,7.86,7.946666666666666
1918-11-01,8.06,7.900476190476191
1918-12-01,7.9,7.833333333333333
1919-01-01,7.85,7.770476190476191
1919-02-01,7.88,7.723809523809523
1919-03-01,8.12,7.68
1919-04-01,8.39,7.6609523809523825
1919-05-01,8.97,7.681904761904763
1919-06-01,9.21,7.733809523809524
1919-07-01,9.51,7.820952380952382
1919-08-01,8.87,7.908095238095239
1919-09-01,9.01,8.013333333333334
1919-10-01,9.47,8.12095238095238
1919-11-01,9.19,8.204761904761906
1919-12-01,8.92,8.282857142857143
1920-01-01,8.83,8.36
1920-02-01,8.1,8.391428571428571
